Date,Ke_count,acumKe_count
1-Jul,5034,5034
2-Jul,4212,9246
3-Jul,5796,15042
4-Jul,7314,22356
5-Jul,7386,29742
6-Jul,10341,40083
7-Jul,12973,53056
8-Jul,13884,66940
9-Jul,13992,80932
10-Jul,21424,102356
11-Jul,20597,122953
12-Jul,8094,131047
13-Jul,9636,140683
14-Jul,5556,146239
15-Jul,5225,151464
16-Jul,18780,170244
17-Jul,45558,215802
18-Jul,39697,255499
19-Jul,74328,329827
20-Jul,189420,519247
21-Jul,155774,675021
22-Jul,99324,774345
23-Jul,79950,854295
24-Jul,101376,955671
25-Jul,54139,1009810
26-Jul,44166,1053976
27-Jul,56110,1110086
28-Jul,32859,1142945
29-Jul,24474,1167419
30-Jul,24594,1192013
31-Jul,16902,1208915
