date,accumRun1,accumRun2
1-Jul,,
2-Jul,,
3-Jul,,
4-Jul,,
5-Jul,,
6-Jul,,
7-Jul,,
8-Jul,,
9-Jul,,
10-Jul,,
11-Jul,,943717
12-Jul,860646,
13-Jul,955485,
14-Jul,1128042.138,1393660
15-Jul,,1393660
16-Jul,,1560749
17-Jul,1512792.507,1865965
18-Jul,,2361338
19-Jul,2012556.653,2680915
20-Jul,2600768,3302539
21-Jul,,3742157.447
22-Jul,,3917015.604
23-Jul,,4096774.387
24-Jul,,4206652.709
25-Jul,,4236258.826
26-Jul,,
27-Jul,,4350133.509
28-Jul,,4457122.475
29-Jul,,4706098.475
30-Jul,,4706098.475
31-Jul,,
