"","year","mse","date","ccumCPUE.x","cum_RUN","ccpuef","pr","mid.run","est.total.run","remaining.run"
"4",2015,1.73963156289807e-05,"07/11",734.69194544,943717,21780.7980773176,1284.50707246398,"07/25",27977589.1742243,27033872
"5",2021,7.54521607577477e-05,"07/11",734.69194544,943717,8899.87703787163,1284.50707246398,"07/29",11431954.9992059,10488238
"2",1990,0.000177527976996228,"07/11",734.69194544,943717,5956.86043966044,1284.50707246398,"07/18",7651629.36442472,6707912
"11",1987,0.000239557819126918,"07/11",734.69194544,943717,4193.14827901819,1284.50707246398,"07/18",5386128.62028903,4442412
"3",2007,0.000242070759433492,"07/11",734.69194544,943717,4163.58125997599,1284.50707246398,"07/19",5348149.57521765,4404433
"51",2021,8.74903082649312e-05,"07/14",935.57362266,1393660,8288.39765512673,1489.63156532522,"07/29",12346658.7730443,10952999
"31",2015,9.97638490034902e-05,"07/14",935.57362266,1393660,16467.0163444553,1489.63156532522,"07/25",24529787.3334269,23136127
"21",2006,0.000276851332890892,"07/14",935.57362266,1393660,4748.51555362059,1489.63156532522,"07/24",7073538.65711098,5679879
"41",2019,0.00034762677904181,"07/14",935.57362266,1393660,3914.21182970728,1489.63156532522,"07/21",5830733.49490133,4437073
"12",1994,0.000429860174551109,"07/14",935.57362266,1393660,3545.12434121132,1489.63156532522,"07/19",5280929.12167116,3887269
"52",2021,7.6946432670187e-05,"07/16",1340.18801106,1560749,8265.29496619883,1164.5746620025,"07/29",9625553.09161195,8064804
"32",2015,0.000168022832121504,"07/16",1340.18801106,1560749,14039.0342318862,1164.5746620025,"07/25",16349503.5454403,14788755
"22",2006,0.000276352234587449,"07/16",1340.18801106,1560749,4900.98330541316,1164.5746620025,"07/24",5707560.97638142,4146812
"42",2019,0.00031650847954382,"07/16",1340.18801106,1560749,3967.47830186456,1164.5746620025,"07/21",4620424.70239617,3059676
"13",1994,0.000422691363707125,"07/16",1340.18801106,1560749,3641.62440298826,1164.5746620025,"07/19",4240943.5082501,2680195
"53",2021,7.26111475018865e-05,"07/17",1482.08801106,1865965,8244.7101690761,1259.01092652753,"07/29",10380180.1889195,8514215
"33",2015,0.000227328621255857,"07/17",1482.08801106,1865965,12990.445351222,1259.01092652753,"07/25",16355112.6376473,14489148
"23",2006,0.000280149745904919,"07/17",1482.08801106,1865965,4976.47944169444,1259.01092652753,"07/24",6265441.99273294,4399477
"43",2019,0.000306485575962541,"07/17",1482.08801106,1865965,3999.63622853618,1259.01092652753,"07/21",5035585.71386243,3169621
"14",1987,0.000424200450645366,"07/17",1482.08801106,1865965,3664.67571642072,1259.01092652753,"07/18",4613866.7691538,2747902
"54",2021,6.87629284700943e-05,"07/18",1658.58801106,2361338,8226.50560225449,1423.7037674539,"07/29",11712107.0189104,9350769
"24",2006,0.000290923352461934,"07/18",1658.58801106,2361338,5056.91334748438,1423.7037674539,"07/24",7199546.58450145,4838209
"44",2019,0.00030571719228115,"07/18",1658.58801106,2361338,4040.21611978117,1423.7037674539,"07/21",5752070.91106045,3390733
"34",2015,0.000308110604259707,"07/18",1658.58801106,2361338,12048.3482043789,1423.7037674539,"07/25",17153278.7301708,14791941
"15",1987,0.000401175310320784,"07/18",1658.58801106,2361338,3658.53093518097,1423.7037674539,"07/18",5208664.2757638,2847326
"55",2021,7.21075297468864e-05,"07/19",1762.08801106,2680915,8131.19904449154,1521.44216586961,"07/29",12371149.0853681,9690234
"25",2006,0.000280885949978332,"07/19",1762.08801106,2680915,5088.82285626043,1521.44216586961,"07/24",7742349.66815564,5061435
"45",2019,0.000290351654193823,"07/19",1762.08801106,2680915,4047.73356735643,1521.44216586961,"07/21",6158392.52558189,3477478
"16",1987,0.000395320625325918,"07/19",1762.08801106,2680915,3630.51647126309,1521.44216586961,"07/18",5523620.84326381,2842706
"35",2007,0.000404911452604296,"07/19",1762.08801106,2680915,3599.97351408009,1521.44216586961,"07/19",5477151.50033525,2796237
"56",2021,0.000110215922135328,"07/20",1797.18801106,3302539,7938.65419958114,1837.61464002429,"07/29",14588187.1792407,11285648
"36",2006,0.000274930775629824,"07/20",1797.18801106,3302539,5055.03327741107,1837.61464002429,"07/24",9289203.15638058,5986664
"46",2019,0.000302613315713964,"07/20",1797.18801106,3302539,4008.95135624557,1837.61464002429,"07/21",7366907.70338211,4064369
"26",1994,0.00043072578808764,"07/20",1797.18801106,3302539,3768.95094825352,1837.61464002429,"07/19",6925879.44004412,3623340
"17",1987,0.00047984149691256,"07/20",1797.18801106,3302539,3569.39848529175,1837.61464002429,"07/18",6559178.91265267,3256640
"57",2021,0.000174253199572164,"07/21",1894.78184668,3742157.447,7725.64697341189,1974.98063091376,"07/29",15258003.133766,11515846
"37",2006,0.000283357827947825,"07/21",1894.78184668,3742157.447,5006.05298497106,1974.98063091376,"07/24",9886857.68264583,6144700
